trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
0	0	0	0	4	3	1	1	1.0	1	2012	4	1	7	10.0	56	1	1	2	778	0.218055556	0.0922222219999999	0.134444444	0.0	0.016666667	0.0	0	0.052222222	1.5	0.14	0.0	0.111702
68	13	2	0	3	3	1	1	1.0	1	2012	4	1	7	8.5	19	0	0	1	12835	3.001388889	0.96	0.03	0.666666667	0.353888889	0.166666667	2	0.514166667	4.3	1.96	0.0	0.321448
69	13	2	1	4	3	1	1	1.0	1	2012	4	1	7	12.0	19	0	0	1	12835	2.996944444	0.9725	0.029444444	0.083333333	0.735833333	0.398055556	3	0.716944444	6.0	2.16	0.0	0.58272
101	20	1	1	4	3	1	1	1.0	1	2012	4	1	7	22.0	55	0	1	1	14326	3.329722222	1.025555556	0.24	0.466666667	0.0	0.0	0	0.6102777779999999	2.8	2.12	0.0	0.4852069999999999
103	20	2	1	2	3	1	1	1.0	1	2012	4	1	7	11.5	30	0	1	1	6398	1.3675	0.404166667	0.292222222	0.166666667	0.118888889	0.15	1	0.250277778	3.0	1.0	0.0	0.250832
142	29	1	1	3	1	1	1	1.0	1	2012	4	2	1	22.0	54	1	0	1	6161	2.369166667	0.561666667	0.163888889	0.0	0.366666667	0.0	0	0.283333333	1.5	1.13	0.0	0.3029409999999999
167	35	0	1	1	3	6	5	0.0	1	2012	4	2	1	13.25	70	0	0	0	425	0.1475	0.1005555559999999	0.1166666669999999	0.0	0.029444444	0.0	0	0.0775	0.0	0.27	0.0	0.0501792
200	42	2	1	4	4	2	2	0.0	1	2012	4	3	2	16.5	17	0	0	2	10081	2.417777778	0.815	0.038055556	0.35	0.145	0.289722222	2	0.588055556	1.45	1.48	0.0	0.413793
208	43	0	1	3	3	6	5	0.0	1	2012	4	3	2	12.25	43	0	1	0	2007	0.473888889	0.157777778	0.085	0.0	0.136944444	0.0	0	0.154722222	0.0	0.39	0.0	0.357271
210	43	0	3	3	3	6	5	0.0	1	2012	4	3	2	14.0	43	0	1	0	1541	0.355	0.113611111	0.110833333	0.0	0.0855555559999999	0.0	0	0.117777778	0.0	0.28	0.0	0.146226
211	44	0	0	4	4	1	1	1.0	1	2012	4	3	2	8.5	38	0	1	2	5782	1.3677777780000002	0.426666667	0.333611111	0.0	0.546944444	0.0	0	0.473611111	1.5	1.23	0.0	0.4111439999999999
221	47	0	0	3	3	6	1	1.0	1	2012	4	3	2	12.0	28	1	0	0	18392	4.208611111000001	1.553888889	0.250833333	0.683333333	0.164444444	0.166666667	2	0.879166667	4.6	3.08	10.5	0.576303
228	48	0	3	3	3	1	5	0.0	1	2012	4	3	2	12.25	64	0	1	2	2237	0.5902777779999999	0.183055556	0.165833333	0.0	0.292222222	0.0	0	0.1722222219999999	0.0	0.49	0.0	0.217742
234	49	1	1	1	1	6	1	1.0	1	2012	4	3	2	14.0	47	1	0	0	1315	0.417777778	0.117777778	0.113611111	0.0	0.1166666669999999	0.0	0	0.156111111	1.5	0.36	0.0	0.268683
261	57	0	1	3	1	1	1	1.0	1	2012	4	3	2	17.75	41	0	1	1	5356	1.195	0.419166667	0.272222222	0.2	0.0	0.0	0	0.403888889	2.9	1.01	10.5	0.766162
263	58	0	1	3	1	6	5	0.0	1	2012	4	3	2	15.5	64	1	0	0	4593	1.103333333	0.360833333	0.1875	0.133333333	0.0	0.0	0	0.356666667	0.0	0.87	0.0	0.431464
269	60	1	2	4	3	5	1	1.0	1	2012	4	3	2	19.0	32	1	1	1	1215	0.399722222	0.141944444	0.229166667	0.0	0.05	0.0	0	0.113055556	1.5	0.42	0.0	0.031941
298	68	1	2	1	3	6	4	1.0	1	2012	4	5	4	14.75	26	1	0	0	1138	0.312222222	0.111944444	0.039722222	0.0	0.0627777779999999	0.0	0	0.065555556	1.5	0.19	0.0	0.105932
309	71	1	0	4	3	2	5	0.0	1	2012	4	6	5	15.0	67	0	1	1	9990	2.2433333330000003	0.651944444	0.250277778	0.316666667	0.105	0.111666667	1	0.5025	0.0	1.41	0.0	0.316197
